Information listing created by	joaol
Date	06-Dec-2023 23:43:36
Current work part	C:\Users\joaol\OneDrive - Universidade de Lisboa\Ambiente de Trabalho\Ficheiros NX\Malha simétrica\Malha base Q4 eixo\Modelo\model1base_fem1.fem
Node name	DESKTOP-FSDCSN1


 
------------------------------------------------------------
 
              ELEMENT INFORMATION
 
------------------------------------------------------------
 
 
ELEMENT INFORMATION
  Label                | Element Type   | Mesh           | Mesh Collector | Connected Nodes
  152                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 379 388 385 380 648 647 649 635
  153                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 389 330 1015 1016 650 593 1037 651
  154                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 389 1016 1017 390 651 1038 652 653
  155                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 390 1017 1018 391 652 1039 654 655
  156                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 391 1018 1019 392 654 1040 656 657
  157                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 392 1019 1020 393 656 1041 658 659
  158                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 393 1020 1021 394 658 1042 660 661
  159                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 394 1021 1022 395 660 1043 662 663
  160                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 395 1022 1023 396 662 1044 664 665
  161                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 396 1023 1024 397 664 1045 666 667
  162                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 397 1024 1025 398 666 1046 668 669
  163                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 398 1025 265 20 668 1047 113 670
  164                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 398 20 328 399 670 522 671 672
  165                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 399 328 327 400 671 527 673 674
  166                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 400 327 1079 1049 673 524 1061 675
  167                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 400 1049 1050 401 675 1062 676 677
  168                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 401 1050 1051 402 676 1063 678 679
  169                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 402 1051 1052 403 678 1064 680 681
  170                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 403 1052 1053 404 680 1065 682 683
  171                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 404 1053 1054 405 682 1066 684 685
  172                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 405 1054 1055 406 684 1067 686 687
  173                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 406 1055 1056 407 686 1068 688 689
  174                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 407 1056 1057 408 688 1069 690 691
  175                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 408 1057 1058 409 690 1070 692 693
  176                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 409 1058 1059 410 692 1071 694 695
  177                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 410 1059 1060 411 694 1072 696 697
  178                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 411 1060 1078 983 696 1073 993 698
  179                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 411 983 984 412 698 994 699 700
  180                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 412 984 985 413 699 995 701 702
  181                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 413 985 986 414 701 996 703 704
  182                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 414 986 987 415 703 997 705 706
  183                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 415 987 988 416 705 998 707 708
  184                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 416 988 989 417 707 999 709 710
  185                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 417 989 990 418 709 1000 711 712
  186                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 418 990 991 419 711 1001 713 714
