Information listing created by	Afonso Araújo
Date	07-Dec-2023 00:41:54
Current work part	C:\Users\Afonso\Documents\MATLAB\MComp\Projeto MComp\comsimetria_fem1.fem
Node name	DESKTOP-5AECOVI


 
------------------------------------------------------------
 
              ELEMENT INFORMATION
 
------------------------------------------------------------
 
 
ELEMENT INFORMATION
  Label                | Element Type   | Mesh           | Mesh Collector | Connected Nodes
  133                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 133 131 974 975 497 491 977 498
  134                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 133 975 984 855 498 978 905 499
  135                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 134 129 130 132 500 501 493 502
  136                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 134 132 131 133 502 496 497 503
  137                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 856 857 129 134 906 504 500 505
  138                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 856 134 133 855 505 503 499 907
  139                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 136 956 957 130 506 963 494 507
  140                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 129 857 858 135 504 908 508 509
  141                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 129 135 136 130 509 510 507 501
  142                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 955 956 136 137 964 506 511 512
  143                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 138 128 953 954 513 514 965 515
  144                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 138 954 955 137 515 966 512 516
  145                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 139 137 136 135 517 511 510 518
  146                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 139 135 858 859 518 508 909 519
  147                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 140 127 128 138 520 521 513 522
  148                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 140 138 137 139 522 516 517 523
  149                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 860 861 127 140 910 524 520 525
  150                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 860 140 139 859 525 523 519 911
  151                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 142 952 953 128 526 967 514 527
  152                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 127 861 862 141 524 912 528 529
  153                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 127 141 142 128 529 530 527 521
  154                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 144 951 952 142 531 968 526 532
  155                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 141 862 863 143 528 913 533 534
  156                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 141 143 144 142 534 535 532 530
  157                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 146 950 951 144 536 969 531 537
  158                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 143 863 864 145 533 914 538 539
  159                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 143 145 146 144 539 540 537 535
  160                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 148 949 950 146 541 970 536 542
  161                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 145 864 865 147 538 915 543 544
  162                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 145 147 148 146 544 545 542 540
  163                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 153 152 150 151 546 547 548 549
  164                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 153 151 867 868 549 550 916 551
  165                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 124 125 152 153 552 553 546 554
  166                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 124 153 868 869 554 551 917 555
  167                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 154 937 985 149 556 938 557 558
  168                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 154 149 150 152 558 559 547 560
  169                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 126 936 937 154 561 939 556 562
  170                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 126 154 152 125 562 560 553 563
  171                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 155 147 865 866 564 543 918 565
  172                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 155 866 867 151 565 919 550 566
  173                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 156 948 949 148 567 971 541 568
  174                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 156 148 147 155 568 545 564 569
  175                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 157 149 985 947 570 557 972 571
  176                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 157 947 948 156 571 973 567 572
  177                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 155 151 150 158 566 548 573 574
  178                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 150 149 157 158 559 570 575 573
  179                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 155 158 157 156 574 575 572 569
  180                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 160 124 869 162 576 555 577 578
  181                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 869 870 161 162 920 579 580 577
  182                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 160 162 161 159 578 580 581 582
  183                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 119 120 159 161 583 584 581 585
  184                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 119 161 870 871 585 579 921 586
  185                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 165 164 122 123 587 588 589 590
  186                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 165 123 934 935 590 591 940 592
  187                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 936 126 163 166 561 593 594 595
  188                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 163 164 165 166 596 587 597 594
  189                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 936 166 165 935 595 597 592 941
  190                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 167 163 126 125 598 593 563 599
  191                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 167 125 124 160 599 552 576 600
  192                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 168 159 120 121 601 584 602 603
  193                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 168 121 122 164 603 604 588 605
  194                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 167 160 159 168 600 582 601 606
  195                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 167 168 164 163 606 605 596 598
  196                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 180 175 176 179 607 608 609 610
  197                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 180 179 846 847 610 611 849 612
  198                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 181 848 983 930 613 850 942 614
  199                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 181 930 931 174 614 943 615 616
  200                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 180 847 848 181 612 851 613 617
  201                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 180 181 174 175 617 616 618 607
  202                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 182 845 846 179 619 852 611 620
  203                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 182 179 176 177 620 609 621 622
  204                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 183 178 825 826 623 624 835 625
  205                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 183 826 982 844 625 836 853 626
  206                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 182 177 178 183 622 627 623 628
